stem,relationship,windows_path,windows_bytes,windows_sha256,dos_path,dos_bytes,dos_sha256,notes
death8,matched_stem,Sounds/Death8.wav,184940,bd62b22d4805f4e338026cc2097e009af3878199b1991053b8a9f45ecd16fa3a,DEATH8.CLV,369792,176c9e056492655d448deb8e58d3081312e4d7ff8222e4e4b556cd86a4223c0f,
deepness,matched_stem,Sounds/Deepness.wav,181036,8d6e6036e2e92bfb6c7e482aa565c52b7e3c4ce37438578d767e27153607e2c0,DEEPNESS.CLV,361986,2be42e5089874754b303e276e6e459c65b61a398fddff8607b457a1aaf1303db,
detonate,matched_stem,Sounds/Detonate.wav,172814,e2a34e6b9514f9842c49bf4e46e52e881d1d2f0b2e660d8aa1e0eee53418ab9e,DETONATE.CLV,345542,e6c6b43a6c6bc5fd3866aa7a6af9ef5e0fb3c53b24b143d48a538a49f60a628f,
doorclos,windows_only,Sounds/Doorclos.wav,21420,c30f1b74f5f53b71321b447d4e366a7a8e2c329766ac39c4fefe96f7efde71df,,,,
dooropen,windows_only,Sounds/Dooropen.wav,21420,ab8263f390955c15ca0f4200eb650b367f84cc13d46c041d0c3d76c3a2545e57,,,,
drone,matched_stem,Sounds/Drone.wav,41004,536fac9bbd0856a49ba69980016d967a89d64dcc2dde91b97dd05d2ec3468b38,DRONE.CLV,81920,864ccd672affe6d8449a751669cdd5b11e54634ad1ecb2d4bd797cc54c0c5b16,
explode2,matched_stem,Sounds/Explode2.wav,29676,dfa4cac7e6ce53cfff1c413347d9b50b885a7378a656b7699b70e8970924a29c,EXPLODE2.CLV,52738,240b41d3888212b10056caef8108460a5d2c2226dc055c46eee8988df001f2a4,
explode3,matched_stem,Sounds/Explode3.wav,59560,bfd91851e8531dfbdea64929342f0dbeb615a22c0d5313f20e785855a637e08b,EXPLODE3.CLV,119034,58657ec578df195a533b1b7cace60f8409474f8174b9d7c9ab3d2d54d066f5de,
explode4,matched_stem,Sounds/Explode4.wav,25644,131da0abccfed0b07452101cba2c31de480c13c209ce464fad723278ea7c4782,EXPLODE4.CLV,51202,f9cf5bd73fb8f710669a20bfcc4ca0d349538b82106ed46127f063abdcdc19fc,
expscale,matched_stem,Sounds/Expscale.wav,48448,7c2daa1516b3c42337837afce43f5907002fe5809c421d6480f73d14ec69ca49,EXPSCALE.CLV,96810,4050d1c7bce5033f4c05a69cf7facb26f7a914e39f4fae857fcc053e64f5e4e9,
firebal2,windows_only,Sounds/Firebal2.wav,77226,f32782fc069acd411581d980c6cdb92a0779d2750e528d7b397c5cfa4912c065,,,,
gemini,matched_stem,Sounds/Gemini.wav,13850,724c6a134ff4978ecddaa5a26f8340cba8a318fa484e9bb0969ed42dabbb6d2e,GEMINI.CLV,27612,4a086ac463541ae543bb3787d01445fa302eaa8ef0e3270d8a39627462e2b5c1,
gnihs,matched_stem,Sounds/Gnihs.wav,6540,ee295c1d01df98041023c9beb78a148f8b2d70bd59d1c8f7e1b24dc6b3807ab5,GNIHS.CLV,12994,a6c8e67a7e243c5ed5289c567ed24f52ff6e5f0e0537915e6a96696118427378,
hintdron,matched_stem,Sounds/Hintdron.wav,57830,03e9016faeba3152bffa2b67d9a5762634e939f1529c28bde41c4ba7a9f1eb09,HINTDRON.CLV,115580,28ecefa030e453aef869a6d0617e623afc4cf67b49062daf9d8a3daeb50f8251,
ignite2,matched_stem,Sounds/Ignite2.wav,7352,6514c4bf253d380b494f856b2b4acfd3261c7a19e3f360350017278519b26ddd,IGNITE2.CLV,14617,0f300019284b180d4b42f25a1cab13e1ee698246b81fd0af041db9dd8be1622a,
level1,matched_stem,Sounds/Level1.wav,86088,1619f661a69e2cb53c7b631ca1ce84c07faa0f69fdf69ada7b8284562d5ff215,LEVEL1.CLV,172088,77c1ed8a04a56000ad4383753a038228a5f15e89622348eff0c816a0a4301584,
level2,matched_stem,Sounds/Level2.wav,64100,99e18499e2b1f365156c938d48dc01fb62ebb250d0e06edebc661a8c19d894ed,LEVEL2.CLV,128114,dde824c6b20e5868bbc644254cc1a73b71413cebbc25b98a79c0c4d1ff239c13,
lowbees,matched_stem,Sounds/Lowbees.wav,76972,63229e0e5ce855a94750baa4a4427a5953f84f0d2c54d7a4d0347def84ca183c,LOWBEES.CLV,153856,db3a53ed62c91fe3d7e38c508510b4a135ef75ee7339bdc648753689755c5fa4,
missile,matched_stem,Sounds/Missile.wav,9900,452781eb6d4a2457526a49ecf6ff60a006d0ca7f2a94c4c7eead0dea73ba264a,MISSILE.CLV,19714,7fdb822d63ebd693cb402925f422613141fa87731618fe0233d138b1b2467696,windows_sha_alias=Sounds/Bomb.wav
moon,matched_stem,Sounds/Moon.wav,768044,773dbc28639cc605be7c0e713b4d244528ffc6f59a2304f822326727feb9c9c8,MOON.CLV,1536003,b5e96a44567bcf14bb1a17dd8904126e6edbcb813d212c565f34f5af483191d9,
msidle,matched_stem,Sounds/Msidle.wav,11776,898613d2c7c724e5d98cad4a3f271431c839cb3e4fda82d284269dde26643512,MSIDLE.WAV,11776,898613d2c7c724e5d98cad4a3f271431c839cb3e4fda82d284269dde26643512,
open,matched_stem,Sounds/Open.wav,17792,a244c11365b89e81556abf548f687ac5a16585ade596c5fd2509365f47440a65,OPEN.CLV,35498,80993f656a46375f13ca527b0480dc385e657ae5bef8d6e63293a133812758b2,
parachut,matched_stem,Sounds/Parachut.wav,4148,7f15294fce82e78613bfd5c9980f7c937c12cf7442d201ea8dd5a752eee93820,PARACHUT.CLV,8210,d31e53aa236ae4d192d82af1a3a37c8e8cd6d0b49ecd8a36158d296166df413c,
probe3,matched_stem,Sounds/Probe3.wav,48480,b7767cf150df6da0f002b770b7eba8e56afe898b1cb8a9695032dc218e8b5a67,PROBE3.CLV,96872,ac27f88352633359f95a05a1c534ef77bcc20708ef2d8c11fd4c8ed8edbd4f9c,
pulse,windows_only,Sounds/Pulse.wav,47660,f4078abd60b69183f089a5b3066cdfd3fe20030288a5d7512f96ef3b3083de55,,,,
retro1,matched_stem,Sounds/Retro1.wav,20972,108930558aefd942ac216860c624ac840ba04d5075768c5265aaacfd1dfda397,RETRO1.CLV,41858,fd0ff7eda8e5130535038e3190b902f481768df4cbde7d74c13d52ad36fd04af,
shatter,matched_stem,Sounds/Shatter.wav,21040,5f03b7f872a53d6a3ef77c7e0a5a3fad996132158c8621908a07ab6e34872c67,SHATTER.CLV,41994,3469e21dc407dc444084f5fbe8142da3a42296bc42092bd4967b3dbed1e9940f,
shields,matched_stem,Sounds/Shields.wav,2498,b1c39f2a14eccc4f48d7a6e35fd5390aadeddf76ec55061500c03e238b646809,SHIELDS.CLV,4908,8e7cd8629d7a9b3fddea12fb4f2a94969f1baf738c3f57665f1a5525e51ff666,
shing,matched_stem,Sounds/Shing.wav,14220,afa99d823c09109686ae2c19fa921af4a0fad4a11d297e3e52187c269a2b9bff,SHING.CLV,28354,729fe9f871c3abc9679b1141d9da01cbbb693810cbb494ba022f59eaa4475a9b,
snapshot,matched_stem,Sounds/Snapshot.wav,7036,d195e08819f48a1267d97baac20498de477a340949ff70b9aa61225e28c60937,SNAPSHOT.CLV,13986,4e54871db8da0a5c7d85e4fc90a81328e106e1b5328b61b55fc5af1957506b96,
sparks,matched_stem,Sounds/Sparks.wav,72276,ce6ec27879a9159b6658a16c579434903cf85dd3636f398fd9157a3c090db3eb,SPARKS.CLV,144466,5b01962f6cfe9c03c7e97afc021fc072791ac2eb17bfd3a73886e3d0b0083b37,
splash,matched_stem,Sounds/Splash.wav,62508,5ba9e93cf7c0b9d65e3fc33f8cf46cff2debdc40b534a6adf3688ce4fb9e8bde,SPLASH.CLV,124928,164106f0ab2fbaf1f111148b058b402c80719edf6bba41e68acb46b27ea296f5,
squad1,matched_stem,Sounds/Squad1.wav,26860,f9b0584833cc63c5a40dd05a34179b3dcfde67d3d117c588b048273fa924f8a9,SQUAD1.CLV,53634,d5ad359984a202797c83af817f2418402559c7825e79a6bcba2394a24f7a85ca,
squad10,matched_stem,Sounds/Squad10.wav,24236,159377db2097b0eaba854fe5a6dd6b60258c8e8b7fdd4c1e3a39eeb98b729cfc,SQUAD10.CLV,48387,9af6a4b91ca6ec7f3414f9c59f1d361574c2b43bd7c0c248e3e47c2ab3b2120a,
squad11,matched_stem,Sounds/Squad11.wav,90924,87ac2e15d101ca09e863673fd666b7b4281d03d3afeebc3ac6d622353b3ae5aa,SQUAD11.CLV,181763,6f24271f4115db81d317567aff0b11ac442c990098fbd666e67e9220ec53157b,
squad12,matched_stem,Sounds/Squad12.wav,208940,b18a114065368e2404bf0b03cfd0623799fdfc98427ff58b9c10fe78d4ab4378,SQUAD12.CLV,417795,9bab575e3da7d6b707d15bf62edd4ff1800aca10aff58495923a4f59f4aec269,
squad13,matched_stem,Sounds/Squad13.wav,55340,b22bdb9782f87bc482c8f394d3d463733705e4f3043af6ab8cd4714d7bb26852,SQUAD13.CLV,110593,c70d94567dc5e489c9cfe4467c70d04174f48ec3fd09ae50e420e658abcdf691,
squad14,matched_stem,Sounds/Squad14.wav,71724,2432686ed9206fe24152797ce91cbb94c0967aed051a32b373fec0208ace41ca,SQUAD14.CLV,143363,e6e64e4c54f22258d06d85d89b61d5f4754afd439f17c0c5a2423824efa1d56a,
squad2,matched_stem,Sounds/Squad2.wav,50348,1954e9db6e0742993132235a825afcd604d5d402ba1fd3205cf995c473ebfc5d,SQUAD2.CLV,100611,3fe51b8624a1b878bc57ba4bd45d205667ea23e4e0745fdba5c3237046d4094e,
squad3,matched_stem,Sounds/Squad3.wav,58668,c22e9359cf1181736db4f30dc39aa30501dcfdf2c38986fb49413ea839212600,SQUAD3.CLV,117251,130a59744977b046c0364c5a0a0461009fb8d4c3ede3029f3da1fd7b7ccdc181,
squad4,matched_stem,Sounds/Squad4.wav,71468,2af678b2b25d6a40f3e1aebe89736d380f1072e3ad47ace5479b027131ec7abd,SQUAD4.CLV,142851,cc5af091f3d39124f8f9922c431343ff625619c60cacafa3848fd822005d3a57,
squad5,matched_stem,Sounds/Squad5.wav,50860,7bdb8ea3c8319e09e52b0764e82ea13db2bdfee142861cc4273df094718cddde,SQUAD5.CLV,101635,1dbd96c2f60abcd268522064ab67a839eee772f9f3544c44287db6a7ae594934,
squad6,matched_stem,Sounds/Squad6.wav,122924,35f92703141db299632cb6ac2192b4fddf22013298123e0ad93366fe150589ed,SQUAD6.CLV,245763,594e96ae7c4049ca976e3c82aea718bfb33005cfc1a08135cdc7c79888534533,
squad7,matched_stem,Sounds/Squad7.wav,64300,f63a6ad590d0712426beb7429336b69cbf59ad471b444871daad99dc5b817286,SQUAD7.CLV,128515,915e1bad9d66b3546503a64f08bdc432a09413405368acf050d6f9c128fca732,
squad8,matched_stem,Sounds/Squad8.wav,150060,0a9dfc8bc60d5da8cc624250e38ca6c3b0c39d940f19a30136469b406386e0c2,SQUAD8.CLV,300035,79e4191ea30c3d7f79a72130eeba36ecc172cf202ce7b160dbbbaea1d3865680,
squad9,matched_stem,Sounds/Squad9.wav,43052,26c7fd28c485dcc53e5d1001eb2990e5d41443393e23200da41336d80d8ab5e2,SQUAD9.CLV,86019,f231c95647cee8d083d089ab6e37ba908f250a78e22733f1025462786f29a606,
stinger1,matched_stem,Sounds/Stinger1.wav,34026,f8661de57ff6f2a93e3f05b270faa89e0a6ded438760c3facd0a20618ebc646e,STINGER1.CLV,67967,23680008e3b83fa1826b7cfe1e2e3c241dae597f63e4316a950caf942cdf0ad0,
suspense,matched_stem,Sounds/Suspense.wav,271890,5e5c697f1bf5eb78161b803b1d4c73dda2aef24d4cdb2e8801b1f3b256acb30d,SUSPENSE.CLV,543693,50758c9163d759683e58d9a0ec45e78c19fb1fced1a3b68f52498170adcdfdac,
target1,matched_stem,Sounds/Target1.wav,10416,541daa97ad37035077248a9849a3c0502c91599d0fabccdf15e0dc58a00445bb,TARGET1.CLV,20744,0d09debfe2a24529247b1c2e9e6c9bf212e85aa2c81847d0161e23ad09199a74,
test,matched_stem,Sounds/Test.wav,80684,5ff921965c29cfb67e522047c27aa34476b2f1da4101db7e9a8d0c1a32c72b0e,TEST.HMI,13125,3474a626ae8e45ea7553226d2bc7daa2404092058c4fcb3ea5d251464f54ece1,
test,matched_stem,Sounds/Test.wav,80684,5ff921965c29cfb67e522047c27aa34476b2f1da4101db7e9a8d0c1a32c72b0e,TEST.WAV,80684,5ff921965c29cfb67e522047c27aa34476b2f1da4101db7e9a8d0c1a32c72b0e,
thunder2,matched_stem,Sounds/Thunder2.wav,480300,f1551d427c9dd3ffd9cbe156a4a5ef9fa206d712784ca71f0bedf980221db000,THUNDER2.CLV,960514,c528f841c4fc50dfdd22f852d4d6bca21d6f914890f9c55f50e6055b86299bc4,
top1,dos_only,,,,TOP1.CLV,58624,7e20d679f90ce0e79979a0225a0a494ad7e2312650dfa9720bfb0ab39d0b8faa,dos_sha_alias=BOSS.CLV
